Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests
Zambia,Africa,18430129.0,7164,199.0,5786.0,1179.0,90307.0
Zimbabwe,Africa,14883803.0,4339,84.0,1264.0,2991.0,140421.0
Afghanistan,Asia,39009447.0,36896,1298.0,25840.0,9758.0,90396.0
Armenia,Asia,2963811.0,39819,772.0,31556.0,7491.0,171600.0
Azerbaijan,Asia,10148243.0,33247,479.0,29275.0,3493.0,766179.0
Bahrain,Asia,1706669.0,42889,156.0,39945.0,2788.0,876700.0
Bangladesh,Asia,164851401.0,249651,3306.0,143824.0,102521.0,1225124.0
Bhutan,Asia,772443.0,105,3792.590425531915,93.0,12.0,54589.0
Brunei ,Asia,437893.0,141,3.0,138.0,0.0,41148.0
Cambodia,Asia,16741375.0,243,3792.590425531915,210.0,33.0,67807.0
Cyprus,Asia,1208238.0,1208,19.0,856.0,333.0,216597.0
Georgia,Asia,3988368.0,1206,17.0,987.0,202.0,240473.0
Hong Kong,Asia,7503041.0,3850,46.0,2458.0,1346.0,692430.0
India,Asia,1381344997.0,2025409,41638.0,1377384.0,606387.0,22149351.0
Indonesia,Asia,273808365.0,118753,5521.0,75645.0,37587.0,1633156.0
Iran,Asia,84097623.0,320117,17976.0,277463.0,24678.0,2612763.0
Iraq,Asia,40306025.0,140603,5161.0,101025.0,34417.0,1092741.0
Israel,Asia,9197590.0,79559,576.0,53427.0,25556.0,1872453.0
Japan,Asia,126435859.0,42263,1026.0,28877.0,12360.0,938739.0
Jordan,Asia,10213138.0,1232,11.0,1171.0,50.0,628745.0
Kazakhstan,Asia,18798667.0,95942,1058.0,68871.0,26013.0,2163713.0
Kuwait,Asia,4276658.0,70045,469.0,61610.0,7966.0,522200.0
Kyrgyzstan,Asia,6534479.0,38659,1447.0,30099.0,7113.0,267718.0
Laos,Asia,7285750.0,20,3792.590425531915,19.0,1.0,29374.0
Lebanon,Asia,6822220.0,5672,70.0,1974.0,3628.0,345268.0
Macao,Asia,650193.0,46,3792.590425531915,46.0,0.0,4071.0
Malaysia,Asia,32406372.0,9038,125.0,8713.0,200.0,991333.0
Maldives,Asia,541448.0,4680,19.0,2725.0,1936.0,85587.0
Mongolia,Asia,3283344.0,293,3792.590425531915,260.0,33.0,38334.0
Myanmar,Asia,54446389.0,357,6.0,308.0,43.0,122290.0
Nepal,Asia,29186486.0,21750,65.0,15389.0,6296.0,731977.0
Oman,Asia,5118446.0,80713,492.0,70910.0,9311.0,309212.0
Pakistan,Asia,221295851.0,281863,6035.0,256058.0,19770.0,2058872.0
Palestine,Asia,5112340.0,13398,92.0,6907.0,6399.0,200280.0
Philippines,Asia,109722719.0,119460,2150.0,66837.0,50473.0,1669996.0
Qatar,Asia,2807805.0,112092,178.0,108831.0,3083.0,511000.0
S. Korea,Asia,51273732.0,14519,303.0,13543.0,673.0,1613652.0
Saudi Arabia,Asia,34865919.0,284226,3055.0,247089.0,34082.0,3635705.0
Singapore,Asia,5854932.0,54555,27.0,48031.0,6497.0,1474372.0
Sri Lanka,Asia,21422362.0,2839,11.0,2541.0,287.0,166737.0
Syria,Asia,17539600.0,999,48.0,311.0,640.0,135702.0
Taiwan,Asia,23821199.0,477,7.0,443.0,27.0,82737.0
Tajikistan,Asia,9557468.0,7665,62.0,6443.0,1160.0,135702.0
Thailand,Asia,69817894.0,3330,58.0,3148.0,124.0,749213.0
